,name,Hosting team,visiting team,distance (in km),time plane (in seconds),fuel consumption (in kg),Emission plane (in kg),distance autocar (in km),time autocar (in sec),Emission autocar (in kg),Total time (in seconds),Total emission (aller-retour)
0,Angers;-Auxerre,Angers,Auxerre,287.11509914393633,2271.3732732026524,2141.599935411055,12478.99650307605,35.865,2232,53.7975,4503.373273202653,27109.893006152102
1,Angers;-Brest,Angers,Brest,320.814662301714,2417.3825986404795,2241.8058678286134,13062.891496510561,35.005,1947,52.50750000000001,4364.382598640479,28226.082993021122
2,Angers;-Le Havre,Angers,Le Havre,203.3339778698666,1908.3767279839813,1892.476071788536,11027.364117599018,57.260999999999996,2935,85.8915,4843.376727983981,25490.388235198036
3,Angers;-Lens,Angers,Lens,416.3574933494165,2831.338834404791,2525.9032736651225,14718.312976193369,61.650999999999996,3139,92.4765,5970.338834404791,33135.68595238674
4,Angers;-Lille,Angers,Lille,416.3574933494165,2831.338834404791,2525.9032736651225,14718.312976193369,32.938,1835,49.40700000000001,4666.338834404791,31412.905952386736
5,Angers;-Lyon,Angers,Lyon,460.26729845759377,3021.5858412854054,2656.469445770611,15479.115579043506,49.057,2272,73.5855,5293.585841285405,33901.651158087014
6,Angers;-Marseille,Angers,Marseille,628.993977664596,3752.6240597643077,3158.179635143013,18402.55594491844,54.256,2826,81.384,6578.624059764308,40060.47188983688
7,Angers;-Monaco,Angers,Monaco,728.3431001003955,4183.071727046408,3453.5950802019142,20123.927077261655,58.706,3354,88.059,7537.071727046408,43770.21415452331
8,Angers;-Montpellier,Angers,Montpellier,554.0250636583037,3427.8079631396577,2935.25894340703,17103.60814115756,46.512,2941,69.768,6368.807963139658,36997.936282315124
9,Angers;-Nantes,Angers,Nantes,106.49680376238697,1488.812521690248,1604.529926056915,9349.516221619586,48.174,2476,72.261,3964.812521690248,21589.47244323917
10,Angers;-Nice,Angers,Nice,728.3431001003955,4183.071727046408,3453.5950802019142,20123.927077261655,32.013,1898,48.0195,6081.071727046408,42168.63415452331
11,Angers;-Paris Saint-Germain,Angers,Paris Saint-Germain,237.88655858062975,2058.081903036087,1995.2184590219995,11626.038907322516,46.036,2919,69.054,4977.081903036087,26014.237814645032
12,Angers;-Reims,Angers,Reims,405.4377710109522,2784.027203534598,2493.433388119615,14529.11256509983,71.245,3355,106.86750000000002,6139.027203534598,33332.925130199656
13,Angers;-Rennes,Angers,Rennes,119.75531794913363,1546.257382433731,1643.954228690575,9579.23967583104,33.505,1924,50.25750000000001,3470.257382433731,21168.77935166208
14,Angers;-Strasbourg,Angers,Strasbourg,636.9029803808161,3786.891214684823,3181.697120754364,18539.59116604103,79.199,4599,118.79849999999999,8385.891214684823,41831.122332082065
15,Angers;-Saint-Étienne,Angers,Saint-Étienne,418.48541430794785,2840.5584288038503,2532.2306644019754,14755.182367891228,38.966,1970,58.449,4810.55842880385,31848.324735782455
16,Angers;-Toulouse,Angers,Toulouse,456.23817683004665,3004.1289582928634,2644.488818970737,15409.30506146353,40.834,2337,61.251,5341.128958292864,33268.65012292706
17,Auxerre;-Angers,Auxerre,Angers,287.11509914393633,2271.3732732026524,2141.599935411055,12478.99650307605,37.248999999999995,2303,55.87349999999999,4574.373273202653,27192.9330061521
18,Auxerre;-Brest,Auxerre,Brest,591.1221557677237,3588.537684449154,3045.5674565292998,17746.370370811863,20.646,1798,30.969,5386.537684449154,36731.50074162373
19,Auxerre;-Le Havre,Auxerre,Le Havre,298.3182167315274,2319.9127641778437,2174.9124990959945,12673.107157852974,42.902,2786,64.353,5105.912764177843,27920.334315705946
20,Auxerre;-Lens,Auxerre,Lens,304.11078746560895,2345.010102724173,2192.1367565377213,12773.472050860937,47.292,2990,70.938,5335.010102724173,28384.464101721875
21,Auxerre;-Lille,Auxerre,Lille,304.11078746560895,2345.010102724173,2192.1367565377213,12773.472050860937,18.579,1686,27.8685,4031.010102724173,26661.684101721876
22,Auxerre;-Lyon,Auxerre,Lyon,265.071328905798,2175.8647347830915,2076.052600557806,12097.055437009174,34.698,2123,52.047,4298.864734783092,26275.99087401835
