,Team,Location,Stadium,latitude,longitude,nearest aiport,Airport lat,Airport lon
0,Angers,Angers,Stade Raymond Kopa,47.4610005,-0.5307170999999999,Angers – Loire Airport,47.5629222,-0.3144233
1,Auxerre,Auxerre,Stade Abbé Deschamps,47.7867476,3.5885458,Aéroport Auxerre-Branches,47.8446752,3.4999609
2,Brest,Brest,Stade Francis-Le Blé,48.4028861,-4.461456699999999,Brest Bretagne Airport,48.44742710000001,-4.4196867
3,Le Havre,Le Havre,Stade Océane,49.4993417,0.1692945,Deauville - Saint-Gatien Airport,49.3647496,0.156069
4,Lens,Lens,Stade Bollaert-Delelis,50.4328789,2.8150836,Lille Airport,50.56705410000001,3.0991269
5,Lille,Lille,Decathlon Arena Pierre Mauroy Stadium,50.611355,3.1326951,Lille Airport,50.56705410000001,3.0991269
6,Lyon,Lyon,Groupama Stadium,45.7652169,4.9820302,Lyon-Saint Exupéry Airport,45.7234154,5.088767
7,Marseille,Marseille,Orange Vélodrome,43.269859,5.3959015,Marseille Provence Airport,43.43837240000001,5.214735000000002
8,Monaco,Monaco Monaco,Stade Louis II,43.72758169999999,7.4156038,Nice Côte d'Azur Airport,43.6598704,7.214201199999999
9,Montpellier,Montpellier,Stade de la Mosson,43.6221434,3.8120627,Montpellier-Méditerranée Airport,43.5795989,3.965237399999999
10,Nantes,Nantes,Stade de la Beaujoire,47.2560233,-1.524675,Hôtel Escale Oceania Nantes Aéroport,47.1595615,-1.5968545
11,Nice,Nice,Allianz Riviera,43.7051012,7.1926095,Nice Côte d'Azur Airport,43.6598704,7.214201199999999
12,Paris Saint-Germain,Paris,Parc des Princes,48.8414374,2.2530504,Paris Orly Airport,48.7299182,2.3732304
13,Reims,Reims,Stade Auguste Delaune,49.24705489999999,4.0239334,Rethel - Perthes Airport,49.48296730000001,4.3674281
14,Rennes,Rennes,Roazhon Park,48.1074881,-1.7128664,Brit Hotel Ker Lann Airport Parc Expo,48.0552447,-1.740709
15,Strasbourg,Strasbourg,Stade de la Meinau,48.5600068,7.755130899999999,Karlsruhe / Baden-Baden Airport,48.7778557,8.083549699999999
16,Saint-Étienne,Saint-Étienne,Stade Geoffroy Guichard,45.460517,4.389434,Saint-Étienne–Loire Airport,45.531658,4.2940025
17,Toulouse,Toulouse,Stadium de Toulouse,43.5832972,1.434048,Toulouse-Blagnac Airport,43.6313458,1.36449
