,Team,Location,Stadium,latitude,longitude
0,Angers,Angers,Stade Raymond Kopa,47.4610005,-0.5307170999999999
1,Auxerre,Auxerre,Stade Abbé Deschamps,47.7867476,3.5885458
2,Brest,Brest,Stade Francis-Le Blé,48.4028861,-4.461456699999999
3,Le Havre,Le Havre,Stade Océane,49.4993417,0.1692945
4,Lens,Lens,Stade Bollaert-Delelis,50.4328789,2.8150836
5,Lille,Lille,Decathlon Arena Pierre Mauroy Stadium,50.611355,3.1326951
6,Lyon,Lyon,Groupama Stadium,45.7652169,4.9820302
7,Marseille,Marseille,Orange Vélodrome,43.269859,5.3959015
8,Monaco,Monaco Monaco,Stade Louis II,43.72758169999999,7.4156038
9,Montpellier,Montpellier,Stade de la Mosson,43.6221434,3.8120627
10,Nantes,Nantes,Stade de la Beaujoire,47.2560233,-1.524675
11,Nice,Nice,Allianz Riviera,43.7051012,7.1926095
12,Paris Saint-Germain,Paris,Parc des Princes,48.8414374,2.2530504
13,Reims,Reims,Stade Auguste Delaune,49.24705489999999,4.0239334
14,Rennes,Rennes,Roazhon Park,48.1074881,-1.7128664
15,Strasbourg,Strasbourg,Stade de la Meinau,48.5600068,7.755130899999999
16,Saint-Étienne,Saint-Étienne,Stade Geoffroy Guichard,45.460517,4.389434
17,Toulouse,Toulouse,Stadium de Toulouse,43.5832972,1.434048
