team,scenario,transport_type,alternative_selected,emissions_tonnes_co2_from_transport,emissions_tonnes_co2_from_empty_bus,emissions_tonnes_co2,travel_time_hours
Lille,S-4h,avion,0,268.8174970572932,52.835429999999995,321.6529270572932,70.06111111111112
Lille,S-4h,bus,6,3.319692,0.0,3.319692,22.11
Lille,S-4h,train,6,1.0560573119999999,8.910863999999998,9.966921311999998,37.05888888888889
Lille,S-4h',avion,0,268.8174970572932,0.0,268.8174970572932,70.06111111111112
Lille,S-4h',bus,6,3.319692,0.0,3.319692,22.11
Lille,S-4h',train,6,1.0560573119999999,0.0,1.0560573119999999,37.05888888888889
Lille,S-6h,avion,0,112.59150886262435,23.978238,136.56974686262436,27.413333333333334
Lille,S-6h,bus,8,5.641452,0.0,5.641452,38.586666666666666
Lille,S-6h,train,18,17.531325564,35.446296000000004,52.977621564,150.72333333333333
Lille,S-6h',avion,0,112.59150886262435,0.0,112.59150886262435,27.413333333333334
Lille,S-6h',bus,8,5.641452,0.0,5.641452,38.586666666666666
Lille,S-6h',train,18,17.531325564,0.0,17.531325564,150.72333333333333
Lille,S-NP,bus,8,5.641452,0.0,5.641452,38.586666666666666
Lille,S-NP,train,26,28.994894495999997,59.424534,88.419428496,275.53444444444443
Lille,S-NP',bus,8,5.641452,0.0,5.641452,38.586666666666666
Lille,S-NP',train,26,28.994894495999997,0.0,28.994894495999997,275.53444444444443
Lille,SA,avion,0,309.1070554490628,60.38466,369.4917154490628,80.89777777777778
Lille,SA,bus,0,4.681326,0.0,4.681326,32.172222222222224
Lille,SA',avion,0,309.1070554490628,0.0,309.1070554490628,80.89777777777778
Lille,SA',bus,0,4.681326,0.0,4.681326,32.172222222222224
Strasbourg,S-4h,avion,0,303.73195305277864,59.444682,363.17663505277864,90.27222222222223
Strasbourg,S-4h,train,8,1.1720458120000001,11.614109999999998,12.786155811999999,47.93888888888889
Strasbourg,S-4h',avion,0,303.73195305277864,0.0,303.73195305277864,90.27222222222223
Strasbourg,S-4h',train,8,1.1720458120000001,0.0,1.1720458120000001,47.93888888888889
Strasbourg,S-6h,avion,0,151.54870140591558,31.29423,182.84293140591558,44.4
Strasbourg,S-6h,bus,2,2.8930680000000004,0.0,2.8930680000000004,19.134444444444444
Strasbourg,S-6h,train,20,4.763018659999999,36.871494,41.63451266,172.76333333333332
Strasbourg,S-6h',avion,0,151.54870140591558,0.0,151.54870140591558,44.4
Strasbourg,S-6h',bus,2,2.8930680000000004,0.0,2.8930680000000004,19.134444444444444
Strasbourg,S-6h',train,20,4.763018659999999,0.0,4.763018659999999,172.76333333333332
Strasbourg,S-NP,bus,6,12.264936,0.0,12.264936,87.36666666666666
Strasbourg,S-NP,train,28,19.294334568,58.793856,78.088190568,288.24444444444447
Strasbourg,S-NP',bus,6,12.264936,0.0,12.264936,87.36666666666666
Strasbourg,S-NP',train,28,19.294334568,0.0,19.294334568,288.24444444444447
Strasbourg,SA,avion,0,348.51616392537807,67.458144,415.97430792537807,105.76555555555555
Strasbourg,SA,bus,0,2.1040680000000003,0.0,2.1040680000000003,13.908888888888889
Strasbourg,SA,train,0,0.150646736,1.49658,1.647226736,5.026666666666666
Strasbourg,SA',avion,0,348.51616392537807,0.0,348.51616392537807,105.76555555555555
Strasbourg,SA',bus,0,2.1040680000000003,0.0,2.1040680000000003,13.908888888888889
Strasbourg,SA',train,0,0.150646736,0.0,0.150646736,5.026666666666666
Montpellier,S-4h,avion,0,260.96958586244324,51.62587499999999,312.59546086244325,80.89111111111112
Montpellier,S-4h,bus,8,8.935551,0.0,8.935551,59.505
Montpellier,S-4h,train,4,0.78916388,6.324515999999999,7.113679879999999,26.19
Montpellier,S-4h',avion,0,260.96958586244324,0.0,260.96958586244324,80.89111111111112
Montpellier,S-4h',bus,8,8.935551,0.0,8.935551,59.505
Montpellier,S-4h',train,4,0.78916388,0.0,0.78916388,26.19
Montpellier,S-6h,avion,0,197.6861000842113,40.032411,237.7185110842113,60.16555555555556
Montpellier,S-6h,bus,12,14.691249,0.0,14.691249,99.4961111111111
Montpellier,S-6h,train,6,1.332321952,12.162282,13.494603951999999,48.09111111111111
Montpellier,S-6h',avion,0,197.6861000842113,0.0,197.6861000842113,60.16555555555556
Montpellier,S-6h',bus,12,14.691249,0.0,14.691249,99.4961111111111
Montpellier,S-6h',train,6,1.332321952,0.0,1.332321952,48.09111111111111
Montpellier,S-NP,bus,12,12.195708,0.0,12.195708,84.60222222222222
Montpellier,S-NP,train,22,16.187722812,54.690234,70.877956812,265.6777777777778
Montpellier,S-NP',bus,12,12.195708,0.0,12.195708,84.60222222222222
Montpellier,S-NP',train,22,16.187722812,0.0,16.187722812,265.6777777777778
Montpellier,SA,avion,0,299.3348008386772,58.031426999999994,357.3662278386772,94.46222222222222
Montpellier,SA,bus,0,8.854515,0.0,8.854515,58.67166666666667
Montpellier,SA',avion,0,299.3348008386772,0.0,299.3348008386772,94.46222222222222
Montpellier,SA',bus,0,8.854515,0.0,8.854515,58.67166666666667
Le Havre,S-4h,avion,0,216.31827397018534,42.920418,259.23869197018536,60.96222222222222
Le Havre,S-4h,bus,16,16.822955999999998,0.0,16.822955999999998,109.13055555555556
Le Havre,S-4h',avion,0,216.31827397018534,0.0,216.31827397018534,60.96222222222222
Le Havre,S-4h',bus,16,16.822955999999998,0.0,16.822955999999998,109.13055555555556
Le Havre,S-6h,avion,0,154.58909331474658,32.018975999999995,186.60806931474656,42.94222222222222
Le Havre,S-6h,bus,18,19.554365999999998,0.0,19.554365999999998,127.70833333333333
Le Havre,S-6h,train,4,2.031154084,8.170032,10.201186084000001,41.96
Le Havre,S-6h',avion,0,154.58909331474658,0.0,154.58909331474658,42.94222222222222
Le Havre,S-6h',bus,18,19.554365999999998,0.0,19.554365999999998,127.70833333333333
Le Havre,S-6h',train,4,2.031154084,0.0,2.031154084,41.96
Le Havre,S-NP,bus,20,22.504476,0.0,22.504476,146.74666666666667
Le Havre,S-NP,train,14,16.0113222,37.238898,53.2502202,203.41333333333333
Le Havre,S-NP',bus,20,22.504476,0.0,22.504476,146.74666666666667
Le Havre,S-NP',train,14,16.0113222,0.0,16.0113222,203.41333333333333
Le Havre,SA,avion,0,239.52739281401483,46.284999,285.81239181401486,70.16222222222223
Le Havre,SA,bus,0,13.458375,0.0,13.458375,87.18388888888889
Le Havre,SA',avion,0,239.52739281401483,0.0,239.52739281401483,70.16222222222223
Le Havre,SA',bus,0,13.458375,0.0,13.458375,87.18388888888889
Marseille,S-4h,avion,0,273.57124970111425,56.669982000000005,330.24123170111426,84.52666666666667
Marseille,S-4h,bus,8,6.103235999999999,0.0,6.103235999999999,42.47666666666667
Marseille,S-4h,train,6,0.9038561679999999,8.791044,9.694900168,38.68222222222222
Marseille,S-4h',avion,0,273.57124970111425,0.0,273.57124970111425,84.52666666666667
Marseille,S-4h',bus,8,6.103235999999999,0.0,6.103235999999999,42.47666666666667
Marseille,S-4h',train,6,0.9038561679999999,0.0,0.9038561679999999,38.68222222222222
Marseille,S-6h,avion,0,165.95775480435475,36.053442000000004,202.01119680435477,50.23222222222222
Marseille,S-6h,bus,8,6.103235999999999,0.0,6.103235999999999,42.47666666666667
Marseille,S-6h,train,14,15.245795379999999,29.407584,44.65337938,128.49444444444444
Marseille,S-6h',avion,0,165.95775480435475,0.0,165.95775480435475,50.23222222222222
Marseille,S-6h',bus,8,6.103235999999999,0.0,6.103235999999999,42.47666666666667
Marseille,S-6h',train,14,15.245795379999999,0.0,15.245795379999999,128.49444444444444
Marseille,S-NP,bus,8,6.103235999999999,0.0,6.103235999999999,42.47666666666667
Marseille,S-NP,train,26,39.125201483999994,65.461026,104.586227484,292.50888888888886
Marseille,S-NP',bus,8,6.103235999999999,0.0,6.103235999999999,42.47666666666667
Marseille,S-NP',train,26,39.125201483999994,0.0,39.125201483999994,292.50888888888886
Marseille,SA,avion,0,342.5132434278523,67.88365800000001,410.3969014278523,110.79
Marseille,SA,bus,0,3.6806039999999993,0.0,3.6806039999999993,26.684444444444445
Marseille,SA',avion,0,342.5132434278523,0.0,342.5132434278523,110.79
Marseille,SA',bus,0,3.6806039999999993,0.0,3.6806039999999993,26.684444444444445
