origin,destination,distance_km,duration_seconds
"47.4610005,-0.5307170999999999","47.56268326367042,-0.3146056927399335",25.52,1295
"47.84456719118031,3.49996089977291","47.7867476,3.5885458",10.69,1061
"48.44806758202319,-4.418785477816436","48.4028861,-4.461456699999999",9.731,756
"49.53208080817946,0.085185590161295","49.4993417,0.1692945",16.715,1246
"50.567054071614706,3.098923049730419","50.611355,3.1326951",7.752,646
"45.7315776926914,4.937236051354679","45.7652169,4.9820302",8.287,910
"43.43791543967677,5.21484531414892","43.269859,5.3959015",34.805,2027
"43.65932215075198,7.214794783101506","43.72758169999999,7.4156038",33.589,2219
"43.579567782477675,3.9650871935893695","43.6221434,3.8120627",19.156,1691
"47.31200486435402,-2.1522680447306133","47.2560233,-1.524675",56.933,2375
"43.65932215075198,7.214794783101506","43.7051012,7.1926095",6.827,731
"49.00573335999775,2.549493187402767","48.8414374,2.2530504",34.492,2257
"50.567054071614706,3.098923049730419","49.24705489999999,4.0239334",200.696,7291
"48.0695552791649,-1.7324487927165575","48.1074881,-1.7128664",6.778,771
"48.53929132461569,7.623918502312405","48.5600068,7.755130899999999",15.999,1376
"45.53158281391396,4.294088328056162","45.460517,4.389434",13.787,772
"43.63135353657465,1.364296878249508","43.5832972,1.434048",15.546,1143
"50.5670541,3.0991269","50.4328789,2.8150836",36.463,1913
"50.567054071614706,3.098923049730419","50.4328789,2.8150836",36.463,1913
"49.5898399,3.6273853000000003","49.24705489999999,4.0239334",66.539,2811
"49.5898399,3.6273853","49.24705489999999,4.0239334",66.539,2811
"47.4610005,-0.5307170999999999","47.7867476,3.5885458",406.85,13564
"47.4610005,-0.5307170999999999","48.4028861,-4.461456699999999",376.075,13632
"47.4610005,-0.5307170999999999","49.4993417,0.1692945",294.077,10806
"47.4610005,-0.5307170999999999","50.4328789,2.8150836",493.625,17785
"47.4610005,-0.5307170999999999","50.611355,3.1326951",511.788,18230
"47.4610005,-0.5307170999999999","45.7652169,4.9820302",612.97,19907
"47.4610005,-0.5307170999999999","43.269859,5.3959015",914.157,30086
"47.4610005,-0.5307170999999999","43.72758169999999,7.4156038",1084.737,36250
"47.4610005,-0.5307170999999999","43.6221434,3.8120627",767.657,24675
"47.4610005,-0.5307170999999999","47.2560233,-1.524675",90.357,3611
"47.4610005,-0.5307170999999999","43.7051012,7.1926095",1059.285,34768
"47.4610005,-0.5307170999999999","48.8414374,2.2530504",289.941,9874
"47.4610005,-0.5307170999999999","49.24705489999999,4.0239334",428.966,14619
"47.4610005,-0.5307170999999999","48.1074881,-1.7128664",134.908,5803
"47.4610005,-0.5307170999999999","48.5600068,7.755130899999999",778.05,26377
"47.4610005,-0.5307170999999999","45.460517,4.389434",572.51,18050
"47.4610005,-0.5307170999999999","43.5832972,1.434048",639.284,20441
"47.7867476,3.5885458","48.4028861,-4.461456699999999",716.427,25021
"47.7867476,3.5885458","49.4993417,0.1692945",358.221,13022
"47.7867476,3.5885458","50.4328789,2.8150836",368.797,14384
"47.7867476,3.5885458","50.611355,3.1326951",386.96,14829
"47.7867476,3.5885458","45.7652169,4.9820302",317.515,11081
"47.7867476,3.5885458","43.269859,5.3959015",620.225,21460
"47.7867476,3.5885458","43.72758169999999,7.4156038",790.805,27625
"47.7867476,3.5885458","43.6221434,3.8120627",604.404,21148
"47.7867476,3.5885458","47.2560233,-1.524675",494.15,16459
"47.7867476,3.5885458","43.7051012,7.1926095",765.353,26142
"47.7867476,3.5885458","48.8414374,2.2530504",170.532,6647
"47.7867476,3.5885458","49.24705489999999,4.0239334",203.92,8856
"47.7867476,3.5885458","48.1074881,-1.7128664",481.874,16593
"47.7867476,3.5885458","48.5600068,7.755130899999999",482.178,17221
"47.7867476,3.5885458","45.460517,4.389434",360.655,12772
"47.7867476,3.5885458","43.5832972,1.434048",616.592,23802
"48.4028861,-4.461456699999999","49.4993417,0.1692945",455.235,16720
"48.4028861,-4.461456699999999","50.4328789,2.8150836",733.17,26232
"48.4028861,-4.461456699999999","50.611355,3.1326951",751.333,26677
"48.4028861,-4.461456699999999","45.7652169,4.9820302",985.595,32658
"48.4028861,-4.461456699999999","43.269859,5.3959015",1286.782,42837
"48.4028861,-4.461456699999999","43.72758169999999,7.4156038",1457.362,49002
"48.4028861,-4.461456699999999","43.6221434,3.8120627",1123.802,37155
"48.4028861,-4.461456699999999","47.2560233,-1.524675",294.428,10627
"48.4028861,-4.461456699999999","43.7051012,7.1926095",1431.91,47519
