departure,arrival,travel_time_seconds,distance_km,emissions_kg_co2,transport_type,route_details
Angers,Auxerre,41164,899.7060000000001,4076.934455999999,train,"{'train_route_details': [{'from': 'Angers Maître École (Angers)', 'to': 'Le Mans (Le Mans)', 'type': 'public_transport', 'distance_km': 89.23, 'co2_kg': 1.061837, 'time_s': 3540}, {'from': 'Le Mans (Le Mans)', 'to': 'Massy TGV (Massy)', 'type': 'public_transport', 'distance_km': 173.101, 'co2_kg': 0.40851835999999997, 'time_s': 2880}, {'from': 'Massy - Palaiseau (Massy)', 'to': 'Paris - Gare de Lyon - Banlieue (Paris)', 'type': 'car', 'distance_km': 24.857, 'co2_kg': 37.2855, 'time_s': 1878}, {'from': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'to': 'Laroche - Migennes (Migennes)', 'type': 'public_transport', 'distance_km': 139.21, 'co2_kg': 1.656599, 'time_s': 6840}, {'from': 'Laroche - Migennes (Migennes)', 'to': 'Auxerre-Saint-Gervais (Auxerre)', 'type': 'public_transport', 'distance_km': 19.158, 'co2_kg': 0.2279802, 'time_s': 960}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Maître École (Angers)', 'distance_km': 4.038, 'travel_time_seconds': 536, 'emissions_kg_co2': 6.0569999999999995}, {'from': 'Auxerre-Saint-Gervais (Auxerre)', 'to': 'Stade Abbé Deschamps', 'distance_km': 4.556, 'travel_time_seconds': 752, 'emissions_kg_co2': 6.834}]}}"
Angers,Brest,29960,901.486,123.43752,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Le Mans (Le Mans)', 'type': 'public_transport', 'distance_km': 81.429, 'co2_kg': 0.19217244, 'time_s': 2280}, {'from': 'Le Mans (Le Mans)', 'to': 'Rennes (Rennes)', 'type': 'public_transport', 'distance_km': 139.293, 'co2_kg': 0.32873147999999996, 'time_s': 3480}, {'from': 'Rennes (Rennes)', 'to': 'Brest (Brest)', 'type': 'public_transport', 'distance_km': 223.848, 'co2_kg': 0.5282812800000001, 'time_s': 7620}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Brest (Brest)', 'to': 'Stade Francis-Le Blé', 'distance_km': 6.48, 'travel_time_seconds': 978, 'emissions_kg_co2': 9.72}]}}"
Angers,Le Havre,36144,932.322,1331.0158979999997,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 262.698, 'co2_kg': 0.61996728, 'time_s': 5040}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Auber (Paris)', 'type': 'car', 'distance_km': 6.818, 'co2_kg': 10.226999999999999, 'time_s': 1586}, {'from': 'Paris Saint-Lazare (Paris)', 'to': 'Le Havre (Le Havre)', 'type': 'public_transport', 'distance_km': 189.843, 'co2_kg': 2.2591316999999997, 'time_s': 7920}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Le Havre (Le Havre)', 'to': 'Stade Océane', 'distance_km': 7.738, 'travel_time_seconds': 1110, 'emissions_kg_co2': 11.607000000000001}]}}"
Angers,Lens,31194,904.174,1578.256882,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 262.698, 'co2_kg': 0.61996728, 'time_s': 5040}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Gare du Nord (Paris)', 'type': 'car', 'distance_km': 9.644, 'co2_kg': 14.465999999999998, 'time_s': 2302}, {'from': 'Paris Nord (Paris)', 'to': 'Arras (Arras)', 'type': 'public_transport', 'distance_km': 159.469, 'co2_kg': 0.37634683999999996, 'time_s': 3000}, {'from': 'Arras (Arras)', 'to': 'Lens (Lens)', 'type': 'public_transport', 'distance_km': 15.913, 'co2_kg': 0.1893647, 'time_s': 660}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Lens (Lens)', 'to': 'Stade Bollaert-Delelis', 'distance_km': 2.86, 'travel_time_seconds': 488, 'emissions_kg_co2': 4.289999999999999}]}}"
Angers,Lille,28998,1032.406,158.49389599999998,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Lille Europe (Lille)', 'type': 'public_transport', 'distance_km': 502.936, 'co2_kg': 1.18692896, 'time_s': 13020}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Lille Europe (Lille)', 'to': 'Decathlon Arena Pierre Mauroy Stadium', 'distance_km': 20.668, 'travel_time_seconds': 1696, 'emissions_kg_co2': 31.001999999999995}]}}"
Angers,Lyon,33612,1336.6140000000005,303.26244599999995,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Le Mans (Le Mans)', 'type': 'public_transport', 'distance_km': 89.883, 'co2_kg': 1.0696077, 'time_s': 3120}, {'from': 'Le Mans (Le Mans)', 'to': 'Lyon Part Dieu (Lyon)', 'type': 'public_transport', 'distance_km': 556.791, 'co2_kg': 1.31402676, 'time_s': 10920}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Lyon Part Dieu (Lyon)', 'to': 'Groupama Stadium', 'distance_km': 37.4, 'travel_time_seconds': 3310, 'emissions_kg_co2': 56.099999999999994}]}}"
Angers,Marseille,45010,1906.97,4053.131506,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Le Mans (Le Mans)', 'type': 'public_transport', 'distance_km': 89.883, 'co2_kg': 1.0696077, 'time_s': 3120}, {'from': 'Le Mans (Le Mans)', 'to': 'Massy TGV (Massy)', 'type': 'public_transport', 'distance_km': 173.101, 'co2_kg': 0.40851835999999997, 'time_s': 2940}, {'from': 'Massy - Palaiseau (Massy)', 'to': 'Paris - Gare de Lyon - Banlieue (Paris)', 'type': 'car', 'distance_km': 24.857, 'co2_kg': 37.2855, 'time_s': 1878}, {'from': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'to': 'Marseille Saint-Charles (Marseille)', 'type': 'public_transport', 'distance_km': 658.525, 'co2_kg': 1.5541189999999998, 'time_s': 11160}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Marseille Saint-Charles (Marseille)', 'to': 'Orange Vélodrome', 'distance_km': 8.372, 'travel_time_seconds': 1832, 'emissions_kg_co2': 12.558}]}}"
Angers,Monaco,63450,2252.926,1185.1256600000002,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 262.698, 'co2_kg': 0.61996728, 'time_s': 4860}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Paris - Gare de Lyon - Banlieue (Paris)', 'type': 'car', 'distance_km': 5.689, 'co2_kg': 8.5335, 'time_s': 1155}, {'from': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'to': 'Nice (Nice)', 'type': 'public_transport', 'distance_km': 833.737, 'co2_kg': 1.96761932, 'time_s': 21240}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Nice (Nice)', 'to': 'Stade Louis II', 'distance_km': 42.812, 'travel_time_seconds': 3778, 'emissions_kg_co2': 64.218}]}}"
Angers,Montpellier,45930,1890.188,1179.029984,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'type': 'public_transport', 'distance_km': 262.698, 'co2_kg': 0.61996728, 'time_s': 5040}, {'from': 'Paris - Montparnasse - Hall 1 & 2 (Paris)', 'to': 'Paris Gare de Lyon (Paris)', 'type': 'car', 'distance_km': 6.1, 'co2_kg': 9.15, 'time_s': 1371}, {'from': 'Paris - Gare de Lyon - Hall 1 & 2 (Paris)', 'to': 'Montpellier Sud de France (Montpellier)', 'type': 'public_transport', 'distance_km': 660.946, 'co2_kg': 1.55983256, 'time_s': 11580}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Montpellier Sud de France (Montpellier)', 'to': 'Stade de la Mosson', 'distance_km': 24.834, 'travel_time_seconds': 3046, 'emissions_kg_co2': 37.251}]}}"
Angers,Nantes,7888,177.608,121.28258,train,"{'train_route_details': [{'from': 'Angers Saint-Laud (Angers)', 'to': 'Nantes (Nantes)', 'type': 'public_transport', 'distance_km': 80.182, 'co2_kg': 0.9541658, 'time_s': 2460}], 'car_route_details': {'segments': [{'from': 'Stade Raymond Kopa', 'to': 'Angers Saint-Laud (Angers)', 'distance_km': 5.866, 'travel_time_seconds': 1262, 'emissions_kg_co2': 8.798999999999998}, {'from': 'Nantes (Nantes)', 'to': 'Stade de la Beaujoire', 'distance_km': 11.378, 'travel_time_seconds': 1706, 'emissions_kg_co2': 17.067}]}}"
