Id,Visiting team,Hosting team,étape,transport,emissions_kg_co2,travel_time_seconds,distance_km,alternative_emissions_kg_co2,alternative_emissions_kg_co2_wo_empty_bus,alternative_travel_time_seconds,alternative_distance_km,alternative_emissions_kg_co2_scenario<3,alternative_emissions_kg_co2_wo_empty_bus_scenario<3,alternative_travel_time_seconds_scenario<3,alternative_distance_km_scenario<3,alternative_emissions_kg_co2_scenario<6,alternative_emissions_kg_co2_wo_empty_bus_scenario<6,alternative_travel_time_seconds_scenario<6,alternative_distance_km_scenario<6
1,Paris Saint-Germain,Paris Saint-Germain,aller,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Paris Saint-Germain,Paris Saint-Germain,retour,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Monaco,Paris Saint-Germain,aller,avion,8104.932862964614,8509.0,761.8276400180798,1606.835244,152.705244,24299.0,875.132,8104.932862964614,6650.802862964614,8509.0,761.8276400180798,1606.835244,152.705244,24299.0,875.132
2,Monaco,Paris Saint-Germain,retour,avion,8104.932862964614,8509.0,761.8276400180798,1606.835244,152.705244,24299.0,875.132,8104.932862964614,6650.802862964614,8509.0,761.8276400180798,1606.835244,152.705244,24299.0,875.132
3,Brest,Paris Saint-Germain,aller,avion,6226.591827031644,6270.0,558.9047630032635,956.2308199999998,78.43682,15245.0,540.128,956.2308199999998,78.43682,15245.0,540.128,956.2308199999998,78.43682,15245.0,540.128
3,Brest,Paris Saint-Germain,retour,avion,6226.591827031644,6270.0,558.9047630032635,956.2308199999998,78.43682,15245.0,540.128,956.2308199999998,78.43682,15245.0,540.128,956.2308199999998,78.43682,15245.0,540.128
4,Lille,Paris Saint-Germain,aller,bus,340.4085,9056.0,226.939,401.642736,61.234236,6631.0,226.934,401.642736,61.234236,6631.0,226.934,401.642736,61.234236,6631.0,226.934
4,Lille,Paris Saint-Germain,retour,bus,340.4085,9056.0,226.939,401.642736,61.234236,6631.0,226.934,401.642736,61.234236,6631.0,226.934,401.642736,61.234236,6631.0,226.934
5,Nice,Paris Saint-Germain,aller,avion,8031.350362964614,7021.0,735.0656400180799,1573.395744,152.705244,24299.0,875.132,8031.350362964614,6610.659862964614,7021.0,735.0656400180799,1573.395744,152.705244,24299.0,875.132
5,Nice,Paris Saint-Germain,retour,avion,8031.350362964614,7021.0,735.0656400180799,1573.395744,152.705244,24299.0,875.132,8031.350362964614,6610.659862964614,7021.0,735.0656400180799,1573.395744,152.705244,24299.0,875.132
6,Lyon,Paris Saint-Germain,aller,avion,5287.905069225486,5953.0,448.78345630421734,805.4896719999999,95.728672,10025.0,423.972,805.4896719999999,95.728672,10025.0,423.972,805.4896719999999,95.728672,10025.0,423.972
6,Lyon,Paris Saint-Germain,retour,avion,5287.905069225486,5953.0,448.78345630421734,805.4896719999999,95.728672,10025.0,423.972,805.4896719999999,95.728672,10025.0,423.972,805.4896719999999,95.728672,10025.0,423.972
